node,intron_density
286,0.3738444964
285,0.3850253819
288,0.3724505771
290,0.3953035382
289,0.3815098226
287,0.4038465305
284,0.3981490299
291,0.3770195828
283,0.3839771894
292,0.3033056076
282,0.3419782719
281,0.4203736173
280,0.4824425015
295,0.7269433591
300,0.6690460937
299,0.6928774788
298,0.699336953
297,0.7085091644
302,0.7497093791
301,0.7520765025
296,0.7656162836
294,0.7622352984
306,0.7839533519
305,0.7411914239
304,0.7511258315
312,0.6863723826
311,0.7207163628
315,0.6864831467
314,0.7338085668
318,0.7020006669
317,0.7102265367
316,0.7151915793
313,0.7651617181
310,0.7719784571
309,0.7818184678
308,0.7816928593
320,0.6582284577
319,0.6684229056
307,0.7536105033
303,0.7776367761
293,0.7659017679
279,0.7437899244
278,1.049747853
327,0.62436687
328,0.6246043559
326,0.6336835008
325,0.6848563929
330,0.6873048812
329,0.7121548038
324,0.7747648418
323,0.784901816
322,0.7847250527
333,0.29521564
338,0.3455441722
337,0.3511655554
336,0.2974777433
335,0.3047761595
339,0.3499619886
334,0.3164434502
332,0.3230634592
331,0.5756856871
321,0.7984536073
277,1.049573924
344,0.5659834845
343,0.5603968739
342,0.5528828916
345,0.5684324869
341,0.5608063166
350,0.5702761135
349,0.5794294483
354,0.5699433562
353,0.5817104541
352,0.6108503315
351,0.6414017522
348,0.6548616831
357,0.5007967742
356,0.636517576
363,0.5521944685
362,0.5636332811
361,0.5770038783
365,0.4083140449
364,0.5260947851
360,0.6597411736
368,0.6219803981
370,0.548662234
369,0.5757528047
367,0.6302757015
372,0.5865449393
371,0.6055094056
366,0.6852550087
359,0.7114561232
377,0.5017068187
376,0.5088763775
375,0.5212040607
374,0.5619749698
373,0.5864842148
358,0.6971945381
355,0.7456336042
347,0.745518753
384,0.320571737
383,0.4405038304
382,0.5903071918
386,0.5357502745
385,0.5738764366
381,0.6483402253
387,0.5528579852
380,0.699545149
391,0.6833686793
390,0.69174581
389,0.6490915874
388,0.6416943856
379,0.7048260461
392,0.5978105908
378,0.7308197625
346,0.7466043412
340,0.5130338171
276,0.9981278341
395,0.2601903613
402,0.009200653655
401,0.009200438083
406,0.003449946786
408,0.003486016778
407,0.004880059774
405,0.004778883354
404,0.008280136891
403,0.008154717508
400,0.008141963326
410,0.002099136968
409,0.002004716682
399,0.008061692057
414,0.009939997462
413,0.01067258237
412,0.03301614079
411,0.03637549199
398,0.03402461173
397,0.03386105943
416,0.02243897457
421,0.003560646717
423,0.0005090243029
422,0.003456970034
420,0.003455535359
419,0.003454246587
425,0.002303661565
426,0.004613755105
424,0.004612841432
418,0.004611987442
417,0.004611215567
415,0.0223029641
396,0.05756533635
394,0.2600136176
393,1.581557023
275,3.790053736
429,2.996054634
431,0.7526780009
434,0.3846772729
433,0.4740231806
432,3.484918038
430,3.389920542
428,3.552241776
436,2.067697063
438,1.475849865
437,1.496754615
435,1.978940524
427,4.29261295
274,4.292455159
452,4.115255649
451,4.214795289
453,3.85038102
450,4.23895299
454,3.864739392
449,4.266285941
448,4.308351295
455,4.131873969
447,4.321695489
461,4.143704981
463,3.918042328
462,4.246834395
460,4.32244281
459,4.368663299
466,4.235607055
469,4.055200803
468,4.231105677
467,4.232051428
465,4.321335347
464,4.358475967
458,4.368374693
457,4.347105707
473,4.050881826
472,4.113762916
471,4.22743691
470,4.305461602
456,4.337973736
446,4.336627578
445,4.400207835
444,4.756837882
475,4.791976202
474,4.96249043
443,5.07625755
477,4.972073683
476,5.626448635
442,4.509997524
478,1.764881073
441,4.219906754
481,0.5072394954
480,0.5281565062
487,0.9164531328
486,1.849869735
485,2.962761139
484,3.266442565
483,3.266270923
492,0.1013460911
495,0.1064652041
496,0.07730134655
494,0.1081961646
493,0.1321632919
491,0.1360420216
490,0.1905066213
489,1.013585428
488,1.163499385
482,3.271177148
479,2.649479536
440,3.487988964
499,4.651828288
498,5.012801052
503,3.420390156
502,3.449332782
501,3.560052174
500,3.825016328
497,3.798257005
439,3.335526073
273,4.272684102
507,1.940553677
506,2.454521569
505,3.69861957
504,5.34530115
272,5.553536818
271,6.379659458
270,6.75212263
508,5.310802538
269,7.035124
516,0.00004385609023
515,0.00005470700059
514,0.0001171920128
518,0.00005434572477
517,0.0001141866562
513,0.0005883035124
519,0.0005755287358
512,0.004074868012
511,0.03048238424
522,0.0005770917644
521,0.004073382815
520,0.03013235577
510,0.2264920366
509,1.84341539
268,7.333805467
267,7.178838203
266,6.036010528
