node,intron density 1L,intron density 2L 
286,0.4118203393,0.4210701132
285,0.4188669869,0.4350593568
288,0.4170641831,0.422586084
290,0.4390708835,0.450841778
289,0.420369568,0.436308692
287,0.4353668355,0.4565896347
284,0.4334873666,0.454017692
291,0.4200732611,0.4279743854
283,0.422050306,0.4369704
292,0.3271823214,0.3394265423
282,0.3756456156,0.3935609515
281,0.4834889095,0.495999541
280,0.5455945182,0.5622476981
295,0.840526497,0.847421254
300,0.7783375735,0.7790135062
299,0.8046793179,0.8066536548
298,0.8104537164,0.8135263875
297,0.8218354706,0.8265956283
302,0.8539993178,0.8641973265
301,0.8528459673,0.8649030769
296,0.8621055765,0.884645959
294,0.8594388728,0.8817256858
306,0.870663128,0.8915743999
305,0.8278743624,0.853135615
304,0.83393854,0.8627310522
312,0.7871463107,0.7951673723
311,0.8160323737,0.8336225182
315,0.7887962422,0.7944784363
314,0.7996814245,0.8427560312
318,0.8177002031,0.7818409075
317,0.844993724,0.7816287891
316,0.8115805552,0.8301273677
313,0.8248218506,0.8674918927
310,0.834322747,0.881660645
309,0.8397905696,0.8931892681
308,0.8378924199,0.8930651891
320,0.7546691689,0.75935667
319,0.7664551175,0.7769138472
307,0.8268780511,0.8675295502
303,0.8539996402,0.895494459
293,0.8504934262,0.8848910641
279,0.8276325031,0.8667459037
278,1.137857133,1.214106972
327,0.7119202469,0.7173378283
328,0.7129382035,0.7156613217
326,0.7147204173,0.7260049133
325,0.7479171858,0.7810107319
330,0.789433358,0.7989320965
329,0.8061551569,0.8225480391
324,0.8672313164,0.9110243236
323,0.8849764239,0.9333833555
322,0.8849259461,0.9334597741
333,0.3184793537,0.3357388564
338,0.3843946004,0.388506144
337,0.3866338139,0.3938386112
336,0.3237932452,0.335857798
335,0.3398947445,0.3522765908
339,0.401590317,0.408615453
334,0.3512966194,0.3688412799
332,0.3579815894,0.3795982857
331,0.6603809969,0.6810663776
321,0.9006895555,0.9504260703
277,1.123663899,1.210431773
344,0.6567120263,0.6635152104
343,0.6303386662,0.6579006764
342,0.6216454476,0.6463725917
345,0.6515967165,0.6629641082
341,0.6133413364,0.6528204843
350,0.6408785636,0.6509148146
349,0.6450102782,0.662042678
354,0.6385325154,0.6473248801
353,0.6460775004,0.6636646558
352,0.6462983437,0.6886201156
351,0.665209768,0.7214823467
348,0.6331581589,0.733852001
357,0.5465714984,0.5652981713
356,0.6200243853,0.7290696027
363,0.6173067778,0.6264555025
362,0.6278078315,0.6417685569
361,0.6275124332,0.6537740766
365,0.4617220792,0.4700131788
364,0.5543677419,0.5920136684
360,0.6607005608,0.7350667724
368,0.6300412784,0.6851743161
370,0.6038846759,0.6216839848
369,0.6187939989,0.6510440602
367,0.6474988441,0.7082468577
372,0.6164353571,0.6591653733
371,0.6329254422,0.6767332486
366,0.6743937882,0.7616317309
359,0.6788671593,0.791531276
377,0.5654898102,0.5715234173
376,0.5686334009,0.5785760843
375,0.5715577617,0.5916308672
374,0.6019975844,0.6354584285
373,0.6217345555,0.6601252421
358,0.662433817,0.779613241
355,0.6608377479,0.8356105407
347,0.6612857599,0.8363379181
384,0.368015292,0.3722712684
383,0.4774476882,0.511970278
382,0.5853759453,0.6709989314
386,0.6167002095,0.6234445204
385,0.6203653559,0.661013792
381,0.5973199094,0.7322939277
387,0.5585424191,0.627492888
380,0.6407115805,0.7892009963
391,0.7569443859,0.7763349111
390,0.7629271815,0.7845658796
389,0.6720869784,0.7364433333
388,0.6477365172,0.7244690817
379,0.6475725005,0.7951634035
392,0.5871782085,0.6678388276
378,0.6535623256,0.8211001868
346,0.6513678625,0.8379091519
340,0.5670075424,0.6037639534
276,1.122744778,1.152596899
395,0.305335543,0.3016960517
402,0.01299741318,0.0129966435
401,0.01299699305,0.01299617225
406,0.007089678675,0.007088995549
408,0.00821773859,0.008871962074
407,0.007580341428,0.007696777024
405,0.00852818427,0.008669875946
404,0.01193324266,0.01210227546
403,0.01188183966,0.01197293817
400,0.01206739844,0.01224802737
410,0.003114183452,0.002764019977
409,0.00302666312,0.002618016076
399,0.02079059662,0.01206271484
414,0.01181928969,0.01532297551
413,0.01472070894,0.01281158172
412,0.03938784135,0.03947953531
411,0.03924938494,0.0392780202
398,0.04107162255,0.04108779821
397,0.04098781612,0.04091492486
416,0.03162640152,0.03164756319
421,0.003732237664,0.003817537688
423,2.01E-05,0.0004654962073
422,0.003693411539,0.003692733136
420,0.003690991226,0.003690028236
419,0.0036889287,0.003687574765
425,0.002489610615,0.002488305006
426,0.004987617801,0.004988866355
424,0.004985937749,0.004986981868
418,0.004984362006,0.004985181474
417,0.01742495543,0.005302607319
415,0.03153115307,0.03147378676
396,0.06329698695,0.06318389618
394,0.3051623471,0.3014746849
393,1.823749594,1.848317434
275,3.680382877,4.331351639
429,3.557833928,3.917039627
431,0.2942773226,0.7182504745
434,0.46776513,0.4726587976
433,0.5507359041,0.5710967512
432,3.547988757,4.244116963
430,3.499473979,4.205836064
428,3.573784533,4.189927544
436,2.098500376,2.380661279
438,1.689497902,1.704183767
437,1.704265556,1.731453962
435,2.208472567,2.338792838
427,3.933282209,4.953678659
