node,intron_density
286,0.4024570895
285,0.4144321372
288,0.3982599203
290,0.4262233006
289,0.4121945744
287,0.4319669274
284,0.4289484462
291,0.4044651403
283,0.4141192406
292,0.32594822
282,0.3707800688
281,0.4648039526
280,0.5313161545
295,0.7947667627
300,0.7350901842
299,0.7573092804
298,0.7637080197
297,0.7764364237
302,0.8162832471
301,0.8189936654
296,0.8363212203
294,0.8333824961
306,0.847869013
305,0.8064157386
304,0.8140295301
312,0.7512655942
311,0.7880661784
315,0.7505301116
314,0.7975174789
318,0.7682577558
317,0.7760085253
316,0.7800899648
313,0.8281739423
310,0.837352629
309,0.8474387185
308,0.8473133942
320,0.7175922161
319,0.7295850709
307,0.8191455781
303,0.8466481495
293,0.8337910259
279,0.8106997993
278,1.133830303
327,0.6802665869
328,0.6806046288
326,0.6890934581
325,0.7432468854
330,0.7493471594
329,0.7731701599
324,0.8439465206
323,0.8617634522
322,0.8615808862
333,0.3217269736
338,0.3718229322
337,0.3776239564
336,0.3180868075
335,0.3304617585
339,0.3817155775
334,0.345078747
332,0.3520734837
331,0.641206197
321,0.8831126941
277,1.133650177
344,0.6153937234
343,0.6097865704
342,0.600046984
345,0.6206643936
341,0.6094345113
350,0.6100370427
349,0.6200519504
354,0.603907829
353,0.6193654218
352,0.6430381831
351,0.6778692988
348,0.6932700833
357,0.5358043432
356,0.6841970017
363,0.5851861827
362,0.6018179866
361,0.6148001321
365,0.4368680738
364,0.553075318
360,0.6927481017
368,0.6400084925
370,0.5804059802
369,0.6078965106
367,0.656476186
372,0.6084378623
371,0.6265133623
366,0.7092130592
359,0.7403893378
377,0.5376980624
376,0.5448711123
375,0.5597279175
374,0.6002135889
373,0.6269475981
358,0.7276015304
355,0.7830139144
347,0.7828948638
384,0.3498799509
383,0.4839290216
382,0.6387940793
386,0.5842220163
385,0.6247621973
381,0.6981117702
387,0.5919379827
380,0.7435081947
391,0.731186811
390,0.7395730606
389,0.698400182
388,0.6919518504
379,0.7535085037
392,0.6333988009
378,0.7742008825
346,0.7927591993
340,0.564919793
276,1.070378729
395,0.285084761
402,0.01035896245
401,0.01035864773
406,0.004603263059
408,0.004603444553
407,0.005977877985
405,0.005885724679
404,0.009387889958
403,0.00926467703
400,0.009297698963
410,0.002157789131
409,0.002048341268
399,0.009219948316
414,0.008627414583
413,0.008484861348
412,0.03460340908
411,0.03511501571
398,0.03740075421
397,0.03724972116
416,0.02647908559
421,0.003728828903
423,0.0005308261696
422,0.003619441108
420,0.00361743579
419,0.003615603505
425,0.002410937426
426,0.004830731518
424,0.004829387173
418,0.004828111252
417,0.00482693378
415,0.0263435185
396,0.06688536598
394,0.2849014762
393,1.635792649
275,4.164377709
429,3.314891046
431,0.8061132655
434,0.4202055199
433,0.5188694293
432,4.042281028
430,3.86673984
428,3.87806104
436,2.224523576
438,1.586191509
437,1.617206012
435,2.115897195
427,4.692356612
274,4.692192696
452,4.134188015
451,4.231970647
453,3.942869396
450,4.312182084
454,3.937855727
449,4.344074092
448,4.372004994
455,4.116762773
447,4.391005592
461,4.278314931
463,4.024372031
462,4.311615082
460,4.420622306
459,4.466204832
466,4.261602548
469,4.018730251
468,4.270337029
467,4.272926082
465,4.361065079
464,4.412918765
458,4.44621568
457,4.417772814
473,4.004337833
472,4.078115238
471,4.228901128
470,4.325705771
456,4.408703734
446,4.406755893
445,4.468226616
444,4.886306173
475,4.887352295
474,5.084753063
443,5.27542999
477,4.984862729
476,5.693825879
442,4.816928201
478,1.893777651
441,4.513160034
481,0.5467968918
480,0.5802631568
487,0.9868114568
486,2.044902125
485,3.23860689
484,3.535062262
483,3.534883861
492,0.1087182937
495,0.1117905096
496,0.08232738466
494,0.1167697751
493,0.1427114084
491,0.1451691561
490,0.2034699633
489,1.092245074
488,1.242056657
482,3.537370422
479,2.934287456
440,3.741031688
499,4.83477815
498,5.302402064
503,3.52273494
502,3.535414501
501,3.650761718
500,4.012967108
497,4.081036745
439,3.558311322
273,4.814147007
507,2.085038709
506,2.625326363
505,3.968349214
504,6.025878579
272,6.303408126
271,7.068789527
270,7.556447078
508,5.629572965
269,7.886988951
516,0.0000443807634
515,0.00005509143384
514,0.0001169580726
518,0.00005486172777
517,0.0001157418086
513,0.0005837829726
519,0.0005703069543
512,0.004032678413
511,0.03016482289
522,0.0005701566748
521,0.004021774496
520,0.02981730344
510,0.2243537693
509,1.922735871
268,7.496889792
267,6.27630022
266,3.920812603
