species	taxid	genome	organism_name	assembly_level	genome_size	num_CDS	num_introns	sum_CDS_length	sum_intron_length	intron_per_kb
Eremothecium_gossypii	1034331	Ashbya_gossypii_fdag1.ASM96883v1	Eremothecium gossypii FDAG1	Complete Genome	9157154	4759	270	7003446	28117	0.0385524
Saccharomyces_cerevisiae	559292	Saccharomyces_cerevisiae.R64-1-1	Saccharomyces cerevisiae S288C	Complete Genome	12157105	6619	282	8801211	111916	0.032041
Thielavia_terrestris	578455	Thielavia_terrestris_nrrl_8126.ASM22611v1	Thielavia terrestris NRRL 8126	Complete Genome	36912256	9802	17290	13641909	1958465	1.26742
Verticillium_dahliae	1202531	Verticillium_dahliaejr2.GCA_000400815.2	Verticillium dahliae JR2	Complete Genome	36150287	11424	16261	15594541	1486506	1.04274
Agaricus_bisporus	936046	Agaricus_bisporus_var_bisporus_h97.Agabi_varbisH97_2	Agaricus bisporus var. bisporus H97	Chromosome	30233745	10441	50790	13351824	3487144	3.80397
Aspergillus_nidulans	227321	Aspergillus_nidulans.ASM1142v1	Aspergillus nidulans FGSC A4	Chromosome	29925798	10533	24460	15266724	2186566	1.60218
Candida_albicans	237561	Candida_albicans_sc5314.ASM18296v2	Candida albicans SC5314	Chromosome	27558918	14213	0	17829351	0	0
Cryptococcus_neoformans	214684	Cryptococcus_neoformans.GCA_000091045.1	Cryptococcus neoformans var. neoformans JEC21	Chromosome	19051922	6273	33000	10097664	2219412	3.26808
Debaryomyces_hansenii	284592	Debaryomyces_hansenii_cbs767.ASM644v2	Debaryomyces hansenii CBS767	Chromosome	12152486	6270	466	9020967	61662	0.0516574
Fusarium_verticillioides	334819	Fusarium_verticillioides.ASM14955v1	Fusarium verticillioides 7600	Chromosome	41885085	14166	24282	17841492	2435534	1.36098
Homo_sapiens	9606	Homo_sapiens.GRCh38.p12	Homo sapiens	Chromosome	3099706404	19803	171094	130648074	954865047	6.2496813022496
Lachancea_thermotolerans	559295	Lachancea_thermotolerans_cbs_6340.ASM14280v1	Lachancea thermotolerans CBS 6340	Chromosome	10392862	5092	284	7516299	41880	0.0377846
