taxid,species_taxid,genome,organism_name,infraspecific_name,accession,date,last_update,bioproject,assembly_level,submitter,genome_size,num_CDS,intron_per_kb
766039,245562,Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1_0,Acidomyces richmondensis BFW,strain=BFW,GCA_001592465,2016-04,2016-04,PRJNA207869,Scaffold,DOE Joint Genome Institute,29881346,11173,1.374723061
857340,5044,Acremonium_chrysogenum_atcc_11550.ASM76926v1,Acremonium chrysogenum ATCC 11550,strain=ATCC 11550,GCA_000769265,2014-08,2014-08,PRJNA248608,Scaffold,Ruhr-Universitaet Bochum,28590524,8895,1.541800835
936046,5341,Agaricus_bisporus_var_bisporus_h97.Agabi_varbisH97_2,Agaricus bisporus var. bisporus H97,strain=H97,GCA_000300575,2012-12,2012-12,PRJNA61005,Chromosome,JGI-PSF,30233745,10441,4.035887846
597362,5341,Agaricus_bisporus_var_burnettii_jb137_s8.Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,strain=JB137-s8,GCA_000300555,2012-10,2012-10,PRJNA61007,Scaffold,JGI,32614392,11269,3.899452921
578462,28583,Allomyces_macrogynus_atcc_38327.A_macrogynus_V3,Allomyces macrogynus ATCC 38327,strain=ATCC 38327,GCA_000151295,2015-08,2015-08,PRJNA20563,Scaffold,Broad Institute,57060573,18772,2.053787112
946122,41956,Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1_0,Amanita muscaria Koide BX008,strain=Koide BX008,GCA_000827485,2015-01,2015-01,PRJNA207684,Scaffold,DOE Joint Genome Institute,40699759,18080,3.38521436
1240240,723287,Anncaliia_algerae_pra109.Annc_alge_PRA109_V4,Anncaliia algerae PRA109,strain=PRA109,GCA_000385855,2014-05,2014-05,PRJNA188094,Scaffold,Broad Institute,17534931,5245,0
1288291,723287,Anncaliia_algerae_pra339.Annc_alge_insect_USDA_JJB_V2,Anncaliia algerae PRA339,strain=PRA339,GCA_000385875,2014-05,2014-05,PRJNA188095,Scaffold,Broad Institute,12163397,3598,0
1277687,84751,Anthracocystis_flocculosa_pf_1.Pflocc_1.0,Anthracocystis flocculosa PF-1,strain=PF-1,GCA_000417875,2014-07,2014-07,PRJNA185206,Scaffold,Université Laval,23305380,4425,1.662243242
756982,13349,Arthrobotrys_oligospora_atcc_24927.AOL24927_1_0,Arthrobotrys oligospora ATCC 24927,strain=ATCC 24927,GCA_000225545,2011-09,2011-09,PRJNA41495,Scaffold,"Laboratory for Conservation and Utilization of Bio-resources, Yunnan University, Kunming 650091, P. R. China",40072829,11479,1.800568486
663331,63400,Arthroderma_benhamiae_cbs_112371.ASM15112v2,Trichophyton benhamiae CBS 112371,strain=CBS 112371,GCA_000151125,2014-12,2014-12,PRJNA30573,Contig,Arthroderma Genome Sequencing Consortium,22224160,7980,1.294200771
554155,63405,Arthroderma_otae_cbs_113480.ASM15114v1,Arthroderma otae CBS 113480,strain=CBS 113480,GCA_000151145,2010-06,2010-06,PRJNA30939,Scaffold,Broad Institute,23263091,8765,2.111323926
284811,33169,Ashbya_gossypii.ASM9102v1,Eremothecium gossypii ATCC 10895,strain=ATCC 10895,GCA_000091025,2010-10,2010-10,PRJNA13834,Complete Genome,"Biozentrum, University of Basel, Switzerland",9119312,4760,0.1021983718
1034331,33169,Ashbya_gossypii_fdag1.ASM96883v1,Eremothecium gossypii FDAG1,strain=FDAG1,GCA_000968835,2013-04,2013-04,PRJNA39549,Complete Genome,"Biozentrum, University of Basel, Switzerland",9157154,4759,0.1025192633
454130,454130,Aspergillus_calidoustus.Acal_Allpaths_LG,Aspergillus calidoustus,NA,GCA_001511075,2016-01,2016-01,PRJEB7718,Scaffold,HKI JENA,41102685,15134,1.811354639
344612,5057,Aspergillus_clavatus.CADRE,Aspergillus clavatus NRRL 1,strain=NRRL 1,GCA_000002715,2005-11,2008-03,PRJNA15664,Scaffold,J. Craig Venter Institute,27859441,9115,1.904306269
1392242,5059,Aspergillus_flavus_af70.ASM95283v1,Aspergillus flavus AF70,strain=AF70,GCA_000952835,2015-03,2015-03,PRJNA217045,Contig,JCVI,37027369,8431,1.817358847
332952,5059,Aspergillus_flavus.JCVI-afl1-v2.0,Aspergillus flavus NRRL3357,strain=NRRL3357,GCA_000006275,2015-06,2015-06,PRJNA13284,Scaffold,J. Craig Venter Institute,36892344,13482,1.987168795
451804,746128,Aspergillus_fumigatusa1163.CADRE,Aspergillus fumigatus A1163,strain=A1163,GCA_000150145,2008-04,2008-05,PRJNA18733,Scaffold,J. Craig Venter Institute,29205420,9914,1.748819828
