taxid,abbreviation,organism_name,genome,introns,bp_CDS,intron_density
4896,Spom,Schizosaccharomyces pombe,Schizosaccharomyces_pombe.ASM294v2,287,856853,0.3349466011
4903,Cjad,Cyberlindnera jadinii,Cyberlindnera_jadinii.cj1,24,742876,0.03230687221
4909,Pkud,Pichia kudriavzevii,Pichia_kudriavzevii.ASM76445v1,38,926970,0.04099377542
5005,Ssal,Sporidiobolus salmonicolor,Sporidiobolus_salmonicolor.SPOSA68321A01,3216,931439,3.452722078
5011,Tdef,Taphrina deformans,Taphrina_deformans,124,347068,0.3572786889
5127,Ffuj,Fusarium fujikuroi,Fusarium_fujikuroi_gca_001023065.ASM102306v1,457,998489,0.457691572
5407,Evac,Exobasidium vaccinii,Exobasidium_vaccinii,831,912378,0.9108067051
5421,Xden,Xanthophyllomyces dendrorhous,Xanthophyllomyces_dendrorhous.Xden1,4382,1044971,4.193417808
5518,Fgra,Fusarium graminearum,Fusarium_graminearum_gca_000599445.CS3005v1,451,1026496,0.4393587505
5544,Thar,Trichoderma harzianum,Trichoderma_harzianum.ASM98886v1,477,1032578,0.4619505742
5643,Tcin,Trametes cinnabarina,Trametes_cinnabarina.BN946,2907,974845,2.982012525
9606,Hsap,Homo sapiens,Homo_sapiens.GRCh38,1775,368476,4.817138701
27342,Spar,Schizopora paradoxa,Schizopora_paradoxa.Schpa1,3177,995398,3.191688149
27349,Psor,Puccinia sorghi,Puccinia_sorghi.ASM126337v1,2603,1014694,2.565305402
28573,Tisl,Talaromyces islandicus,Talaromyces_islandicus.PIS,689,1067669,0.6453310904
35722,Ppar,Parasitella parasitica,Parasitella_parasitica.PP.v1,1635,952487,1.716558861
39416,Tmel,Tuber melanosporum,Tuber_melanosporum.ASM15164v1,1627,926488,1.756093981
40302,Ncer,Nosema ceranae,Nosema_ceranae.ASM98816v1,0,162500,0
45286,Esin,Eremothecium sinecaudum,Eremothecium_sinecaudum.ASM154855v1,2,894305,0.002236373497
48691,Nirr,Neolecta irregularis,Neolecta_irregularis,2055,712362,2.884769261
49012,Ssci,Sporisorium scitamineum,Sporisorium_scitamineum.Sporisorium_scitamineum,117,1043575,0.112114606
52586,Enec,Erysiphe necator,Erysiphe_necator.ASM79871v1,480,919524,0.5220092135
