taxid,species_taxid,genome,organism_name,infraspecific_name,accession,date,last_update,bioproject,assembly_level,submitter,genome_size,num_CDS,num_introns,sum_CDS_length,intron_per_kb
766039,245562,Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1_0,Acidomyces richmondensis BFW,strain=BFW,GCA_001592465,2016-04,2016-04,PRJNA207869,Scaffold,DOE Joint Genome Institute,29881346,11173,13617,13610559,1.00047
857340,5044,Acremonium_chrysogenum_atcc_11550.ASM76926v1,Acremonium chrysogenum ATCC 11550,strain=ATCC 11550,GCA_000769265,2014-08,2014-08,PRJNA248608,Scaffold,Ruhr-Universitaet Bochum,28590524,8895,14610,13122744,1.11333
936046,5341,Agaricus_bisporus_var_bisporus_h97.Agabi_varbisH97_2,Agaricus bisporus var. bisporus H97,strain=H97,GCA_000300575,2012-12,2012-12,PRJNA61005,Chromosome,JGI-PSF,30233745,10441,50790,13351824,3.80397
597362,5341,Agaricus_bisporus_var_burnettii_jb137_s8.Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,strain=JB137-s8,GCA_000300555,2012-10,2012-10,PRJNA61007,Scaffold,JGI,32614392,11269,51312,13866811,3.70035
578462,28583,Allomyces_macrogynus_atcc_38327.A_macrogynus_V3,Allomyces macrogynus ATCC 38327,strain=ATCC 38327,GCA_000151295,2015-08,2015-08,PRJNA20563,Scaffold,Broad Institute,57060573,18772,43475,26980158,1.61137
946122,41956,Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1_0,Amanita muscaria Koide BX008,strain=Koide BX008,GCA_000827485,2015-01,2015-01,PRJNA207684,Scaffold,DOE Joint Genome Institute,40699759,18080,59674,17790711,3.35422
1240240,723287,Anncaliia_algerae_pra109.Annc_alge_PRA109_V4,Anncaliia algerae PRA109,strain=PRA109,GCA_000385855,2014-05,2014-05,PRJNA188094,Scaffold,Broad Institute,17534931,5245,0,3036891,0
1288291,723287,Anncaliia_algerae_pra339.Annc_alge_insect_USDA_JJB_V2,Anncaliia algerae PRA339,strain=PRA339,GCA_000385875,2014-05,2014-05,PRJNA188095,Scaffold,Broad Institute,12163397,3598,0,2881980,0
1277687,84751,Anthracocystis_flocculosa_pf_1.Pflocc_1.0,Anthracocystis flocculosa PF-1,strain=PF-1,GCA_000417875,2014-07,2014-07,PRJNA185206,Scaffold,Université Laval,23305380,4425,7998,8357607,0.956972
756982,13349,Arthrobotrys_oligospora_atcc_24927.AOL24927_1_0,Arthrobotrys oligospora ATCC 24927,strain=ATCC 24927,GCA_000225545,2011-09,2011-09,PRJNA41495,Scaffold,"Laboratory for Conservation and Utilization of Bio-resources, Yunnan University, Kunming 650091, P. R. China",40072829,11479,24896,17203295,1.44716
