node,intron_density
286,0.3770114943
285,0.4034482759
288,0.3873563218
290,0.4068965517
289,0.4068965517
287,0.4471264368
284,0.467816092
291,0.3793103448
283,0.4586206897
292,0.3195402299
282,0.4540229885
281,0.5505747126
280,0.608045977
295,0.7425287356
300,0.5632183908
299,0.6735632184
298,0.7068965517
297,0.7218390805
302,0.7689655172
301,0.791954023
296,0.8344827586
294,0.8609195402
306,0.7804597701
305,0.7816091954
304,0.8390804598
312,0.6988505747
311,0.7505747126
315,0.6896551724
314,0.7471264368
318,0.7011494253
317,0.7114942529
316,0.7206896552
313,0.8034482759
310,0.8551724138
309,0.8655172414
308,0.8735632184
320,0.6505747126
319,0.6804597701
307,0.8804597701
303,0.9908045977
293,1.066666667
279,1.174712644
278,1.424137931
327,0.6229885057
328,0.6195402299
326,0.6528735632
325,0.7195402299
330,0.6816091954
329,0.7103448276
324,0.8390804598
323,0.9126436782
322,0.9643678161
333,0.3091954023
338,0.3425287356
337,0.3563218391
336,0.3390804598
335,0.3724137931
339,0.3528735632
334,0.4034482759
332,0.4379310345
331,0.6252873563
321,1.131034483
277,1.697701149
344,0.5448275862
343,0.6114942529
342,0.6425287356
345,0.5459770115
341,0.6643678161
350,0.5632183908
349,0.583908046
354,0.5609195402
353,0.5862068966
352,0.6103448276
351,0.6701149425
348,0.7103448276
357,0.4816091954
356,0.5885057471
363,0.5609195402
362,0.5793103448
361,0.6034482759
365,0.4183908046
364,0.5011494253
360,0.6643678161
368,0.5908045977
370,0.5494252874
369,0.575862069
367,0.6528735632
372,0.5551724138
371,0.5942528736
366,0.7149425287
359,0.7931034483
377,0.5206896552
376,0.5356321839
375,0.5505747126
374,0.5965517241
373,0.624137931
358,0.8172413793
355,0.875862069
347,0.991954023
384,0.3206896552
383,0.3931034483
382,0.5022988506
386,0.5275862069
385,0.5563218391
381,0.6252873563
387,0.5482758621
380,0.7574712644
391,0.6551724138
390,0.6954022989
389,0.6379310345
388,0.6252873563
379,0.8551724138
392,0.6333333333
378,0.9528735632
346,1.149425287
340,1.086206897
276,1.897701149
395,0.1609195402
402,0.009195402299
401,0.01034482759
406,0.003448275862
408,0.003448275862
407,0.006896551724
405,0.006896551724
404,0.01149425287
403,0.01379310345
400,0.01609195402
410,0.001149425287
409,0.001149425287
399,0.01609195402
414,0.01149425287
413,0.01264367816
412,0.03103448276
411,0.03448275862
398,0.04367816092
397,0.04482758621
416,0.02413793103
421,0.003448275862
423,0
422,0.003448275862
420,0.003448275862
419,0.003448275862
425,0.002298850575
426,0.004597701149
424,0.004597701149
418,0.004597701149
417,0.004597701149
415,0.02413793103
396,0.05977011494
394,0.1931034483
393,1.002298851
275,2.320689655
429,1.833333333
431,0.1252873563
434,0.3528735632
433,0.3885057471
432,2.111494253
430,2.142528736
428,2.749425287
436,1.593103448
438,1.436781609
437,1.406896552
435,1.808045977
427,3.297701149
274,3.920689655
452,4.094252874
451,4.245977011
453,3.572413793
450,4.371264368
454,3.814942529
449,4.437931034
448,4.51954023
455,4.136781609
447,4.631034483
461,3.805747126
463,3.525287356
462,3.927586207
460,4.434482759
459,4.606896552
466,4.181609195
469,4.047126437
468,4.208045977
467,4.282758621
465,4.46091954
464,4.518390805
458,4.854022989
457,4.829885057
473,2.52183908
472,4.063218391
471,4.302298851
470,4.434482759
456,4.94137931
446,5.075862069
445,4.950574713
444,4.986206897
475,4.590804598
474,4.865517241
443,5.41954023
477,2.908045977
476,4.014942529
442,5.087356322
478,1.405747126
441,4.57816092
481,0.3735632184
480,0.4172413793
487,0.7954022989
486,1.263218391
485,2.350574713
484,2.565517241
483,2.531034483
492,0.09655172414
495,0.1057471264
496,0.07586206897
494,0.1103448276
493,0.1287356322
491,0.1367816092
490,0.175862069
489,0.7632183908
488,0.9471264368
482,2.751724138
479,2.109195402
440,4.748275862
499,3.9
498,3.743678161
503,3.133333333
502,3.388505747
501,3.362068966
500,2.896551724
497,3.895402299
439,5.029885057
273,4.874712644
507,1.890804598
506,2.244827586
505,3.008045977
504,3.767816092
272,4.688505747
271,4.137931034
270,4.027586207
508,3.497701149
269,4.047126437
516,0
515,0
514,0
518,0
517,0
513,0
519,0
512,0
511,0
522,0
521,0
520,0
510,0
509,1.094252874
268,2.289655172
267,1.694252874
266,1.124137931
